Open,High,Low,Close
16534.49,16618.49,16457.0,16598.49
16580.39,16787.25,16544.74,16757.25
16733.66,16769.24,16596.73,16658.24
16615.84,16986.87,16615.84,16816.05
16817.85,16875.28,16747.75,16840.83
16830.37,17030.5,16640.36,16921.72
16902.09,16986.27,16899.97,16935.74
16933.82,17017.75,16910.24,16954.74
16868.19,17401.0,16868.19,17174.22
17167.21,17493.33,17127.25,17473.99
17442.16,17585.24,17313.74,17559.77
17559.28,19123.86,17517.49,18817.67
18850.84,19873.43,18704.91,19803.55
19906.67,21378.07,19703.61,20896.56
20884.76,21075.81,20555.56,20911.05
20880.89,21454.52,20605.66,21128.56
21140.85,21623.74,20844.97,21322.35
21309.22,21651.25,20394.33,20770.58
20731.72,21189.08,20621.59,20948.34
20948.39,22446.72,20862.18,22330.58
22625.26,23350.54,22419.93,23191.09
23163.76,23189.84,22280.7,22594.84
22571.78,23172.24,22492.41,22993.97
22966.74,23166.72,22675.33,22883.69
22899.73,23704.81,22323.86,23594.96
23705.04,23814.58,22809.89,23070.97
23071.94,23500.74,22529.23,23088.97
22977.4,23195.22,22885.72,22999.72
22980.27,23965.22,22962.95,23794.22
23748.45,23882.72,22500.62,22735.86
22706.56,23215.1,22468.61,22936.86
22902.54,23797.61,22744.46,23673.61
23636.42,24250.59,23516.7,23571.73
23447.77,23716.6,23206.11,23360.6
23429.86,23585.86,23256.35,23414.35
23402.19,23451.6,22749.85,22904.6
22883.57,23147.61,22628.85,22908.86
22892.1,23345.66,22634.81,23211.61
23160.51,23446.11,22670.61,22955.6
22940.37,23013.61,21652.61,21838.68
21809.68,21954.32,21456.27,21572.04
21559.79,21839.86,21525.71,21820.55
21784.77,22076.42,21705.08,21738.29
21690.79,21899.03,21349.05,21625.55
21609.42,22328.65,21517.71,22252.3
22236.58,24322.08,22048.46,24176.55
24156.78,25239.84,24122.13,24520.69
24489.08,25029.37,23336.32,24629.94
24680.17,24873.24,24430.44,24619.19
24620.82,25168.35,24245.52,24544.04
24415.18,25095.43,23832.78,24767.69
24630.68,25257.37,24147.48,24178.23
24164.89,24479.69,23576.89,23805.44
23786.51,24600.69,23611.34,23876.94
23843.34,24129.83,22831.3,23101.69
23084.75,23216.44,22740.59,22937.94
22911.52,23686.09,22906.52,23554.44
23531.74,23894.19,23115.4,23381.69
23339.3,23593.18,23021.44,23151.69
23161.06,23994.69,23022.44,23540.94
23539.23,23795.93,23188.17,23419.69
23425.8,23550.64,21967.15,22253.34
22371.94,22407.43,22156.93,22214.18
22204.28,22652.19,22180.42,22484.19
22447.5,22599.73,22257.55,22403.47
22420.74,22550.22,21922.6,22047.73
22031.46,22278.23,21828.89,21999.47
21993.96,21999.23,20021.55,20242.97
20213.93,20488.48,19552.1,20012.18
20097.72,20872.68,19869.79,20505.43
20545.51,21552.25,20445.41,21486.4
21428.0,24618.26,21296.63,24240.3
24253.3,26534.78,23989.59,24696.13
24467.2,25290.5,23914.27,24386.13
24399.0,25226.38,24200.38,24727.38
24799.4,27027.57,24777.88,26781.09
27079.54,27827.08,26637.01,27421.04
27364.05,28468.21,26877.77,27988.31
28099.81,28558.51,27227.44,28078.15
28020.98,28517.24,27390.36,28166.82
28141.37,28930.05,26645.05,27358.36
27105.48,28818.64,27035.03,28316.27
28235.11,28497.9,27354.62,27651.46
27237.16,27816.67,27170.04,27365.19
27397.75,28254.22,27360.77,27800.54
27785.52,28168.42,26472.81,27029.25
26848.98,27523.07,26624.12,27335.52
27330.52,28660.52,27097.49,28383.38
28337.88,29168.81,27679.84,28139.23
28132.29,28650.11,27472.55,28436.87
28599.19,28815.32,28234.54,28444.26
28448.23,28568.34,27862.81,28075.0
27978.98,28513.12,27432.51,27584.66
27454.66,28449.09,27319.64,28262.22
28233.72,28787.97,27783.04,28149.08
28169.65,28238.64,27674.5,27990.83
28000.36,28102.39,27776.44,27868.95
27893.81,28163.25,27872.13,27940.77
27915.26,28279.8,27791.92,28130.72
28146.23,29326.31,28130.55,29141.08
29132.08,30577.89,29122.57,30177.39
30179.36,30509.2,29561.0,29957.9
29756.78,30618.94,29756.78,30294.36
30189.88,31043.12,29938.75,30462.53
30456.57,30609.63,30153.5,30313.7
30305.23,30680.52,30129.04,30343.3
30383.3,30433.93,29222.35,29455.25
29442.25,30495.34,29097.56,30407.48
30265.18,30417.67,28723.78,29237.82
