Open,High,Low,Close
1179.81,1186.32,1168.98,1172.38
1176.78,1185.31,1171.26,1180.58
1177.38,1179.14,1168.82,1175.13
1183.24,1195.47,1178.69,1194.85
1199.3,1205.11,1195.82,1196.25
1195.93,1198.6,1189.57,1198.3
1205.68,1207.76,1197.49,1205.05
1207.68,1216.71,1202.31,1215.49
1213.36,1227.6,1212.51,1226.32
1225.11,1231.12,1224.86,1227.66
1231.4,1234.06,1228.16,1231.99
1236.87,1242.57,1227.14,1227.65
1224.3,1229.12,1220.29,1225.39
1225.9,1235.75,1221.83,1234.73
1234.23,1243.2,1232.79,1241.45
1238.42,1244.09,1234.64,1242.7
1235.02,1242.27,1228.29,1239.67
1244.17,1246.98,1237.49,1245.59
1243.96,1250.62,1241.61,1247.38
1244.12,1247.93,1239.23,1240.86
1240.7,1252.21,1239.81,1251.62
1248.12,1253.52,1239.03,1250.47
1253.33,1254.74,1244.86,1246.28
1245.69,1255.31,1245.29,1250.53
1245.53,1248.01,1239.26,1243.67
1241.01,1253.14,1237.76,1248.07
1246.61,1250.85,1241.42,1244.64
1253.93,1254.03,1237.56,1241.41
1237.68,1245.16,1234.71,1243.38
1245.51,1252.39,1243.57,1249.21
1244.57,1253.32,1238.49,1247.74
1240.95,1250.46,1240.5,1249.91
1239.76,1247.51,1236.04,1240.89
1235.71,1239.98,1232.34,1236.64
1230.55,1232.68,1220.98,1222.6
1220.64,1222.46,1213.44,1216.7
1221.44,1222.01,1208.53,1215.66
1206.47,1217.97,1203.72,1216.23
1220.4,1226.95,1218.45,1219.29
1216.94,1218.25,1212.7,1214.55
1217.31,1221.38,1213.59,1218.17
1212.03,1223.64,1209.82,1222.87
1227.22,1239.48,1226.19,1237.99
1236.8,1240.69,1233.52,1234.71
1236.67,1236.67,1216.8,1219.04
1221.38,1229.15,1220.37,1224.2
1224.02,1228.67,1206.06,1207.44
1204.13,1206.86,1187.36,1189.7
1172.28,1185.26,1167.28,1179.02
1185.14,1192.13,1174.17,1182.87
1158.06,1165.26,1152.25,1163.63
1155.56,1177.5,1149.92,1174.34
1168.89,1170.01,1158.71,1164.13
1168.65,1173.95,1165.78,1172.35
1181.8,1185.96,1178.42,1181.27
1183.82,1190.19,1172.58,1174.46
1178.43,1181.38,1163.6,1167.5
1163.61,1171.76,1156.87,1171.12
1175.79,1179.71,1171.93,1178.78
1177.98,1183.41,1176.61,1180.25
1190.82,1191.92,1187.78,1190.76
1199.89,1199.89,1193.07,1196.93
1199.92,1207.75,1199.68,1205.22
1209.78,1218.87,1209.38,1218.11
1221.52,1223.46,1215.2,1219.65
1217.57,1217.84,1209.78,1214.28
