Open,High,Low,Close
7448.7,7625.4,7412.7,7560.9
7551.8,7610.1,7551.0,7570.0
7569.6,7660.4,7557.3,7641.6
7643.3,7721.2,7633.1,7718.4
7721.9,7732.6,7674.8,7679.4
7680.5,7717.7,7664.8,7712.8
7710.4,7772.6,7698.0,7751.2
7749.3,7814.0,7737.8,7803.9
7803.1,7865.2,7800.5,7858.7
7856.7,7867.2,7838.8,7854.9
7856.7,7876.4,7829.9,7844.1
7838.7,7866.6,7783.5,7788.1
7786.9,7803.6,7723.6,7772.2
7779.3,7796.9,7747.4,7796.6
7787.1,7811.4,7766.8,7803.1
7803.0,7805.4,7740.9,7770.6
7771.8,7774.3,7710.0,7748.9
7753.4,7785.7,7747.5,7768.1
7761.2,7781.7,7740.8,7761.8
7754.5,7793.5,7713.5,7776.8
7774.9,7794.2,7706.6,7778.9
7779.9,7807.9,7738.9,7798.6
7810.9,7841.8,7769.2,7802.8
7801.0,7912.6,7795.3,7900.6
7883.3,7896.2,7806.5,7842.0
7845.6,7906.8,7840.2,7889.0
7893.2,7934.9,7869.4,7892.1
7887.2,7947.5,7881.7,7900.8
7901.4,7912.5,7848.8,7892.8
7886.8,7964.4,7867.3,7960.5
7960.3,8000.3,7943.9,7985.9
7983.6,8031.7,7920.0,8015.4
8011.0,8045.0,7977.6,8006.9
8002.7,8021.3,7954.5,8011.5
8000.4,8029.1,7994.0,8007.2
8002.1,8012.0,7950.7,7963.6
7963.3,7973.6,7878.0,7937.1
7908.9,7945.4,7887.3,7930.8
7931.2,7947.7,7869.1,7915.1
7910.8,7949.6,7906.1,7943.0
7947.3,7947.8,7853.1,7872.5
7868.3,7952.5,7854.4,7935.5
7913.6,7971.3,7873.4,7965.3
7957.5,7974.4,7918.8,7957.1
7945.8,7957.9,7896.1,7936.4
7933.8,7961.0,7886.0,7900.3
7903.9,7947.7,7889.3,7931.3
7921.8,7923.0,7799.3,7814.2
7800.7,7807.4,7678.3,7686.8
7694.9,7773.7,7528.6,7547.8
7545.3,7643.2,7500.6,7628.5
7624.4,7640.0,7318.8,7395.3
7376.5,7466.2,7326.5,7448.7
7444.2,7511.2,7307.5,7312.0
7336.0,7430.9,7203.9,7419.6
7416.5,7567.4,7405.4,7557.1
7550.5,7588.9,7501.2,7517.7
7511.0,7550.1,7414.9,7453.9
7453.4,7475.2,7330.6,7428.7
7488.4,7515.7,7426.7,7515.1
7503.8,7525.1,7450.4,7468.9
7471.0,7577.4,7466.7,7569.1
7561.8,7638.6,7555.3,7618.6
7612.6,7658.1,7611.7,7644.4
7647.0,7699.7,7632.9,7692.3
7681.0,7727.0,7625.5,7647.1
7648.0,7679.7,7632.5,7672.8
7665.7,7762.1,7653.0,7744.6
7784.4,7808.7,7755.4,7787.1
7786.3,7860.7,7774.0,7803.2
7798.3,7867.5,7790.4,7857.0
7853.4,7902.7,7848.4,7886.7
7886.0,7915.4,7873.1,7899.6
7899.3,7918.6,7880.9,7910.4
7909.3,7914.4,7870.6,7894.1
7883.1,7915.1,7872.1,7900.4
7899.2,7938.2,7884.2,7913.4
7904.8,7927.2,7876.4,7902.2
7903.9,7909.2,7852.8,7870.8
7871.4,7892.6,7813.7,7832.3
7829.9,7886.1,7815.1,7868.0
7859.2,7879.2,7787.6,7868.0
7856.1,7896.9,7761.8,7790.5
7793.0,7818.9,7739.7,7742.4
7733.3,7780.4,7688.7,7709.4
7714.8,7808.3,7713.9,7798.4
7792.8,7808.6,7732.6,7756.9
7754.1,7780.3,7706.7,7744.1
7734.3,7784.5,7678.1,7744.0
7744.0,7772.9,7734.7,7758.7
7747.5,7796.5,7742.5,7783.2
7780.3,7806.2,7722.3,7736.1
7736.1,7760.3,7711.8,7753.8
7743.3,7776.8,7723.5,7762.9
7758.6,7791.1,7746.4,7779.2
7765.6,7784.7,7749.0,7774.0
7774.5,7800.4,7724.7,7733.2
7737.2,7741.2,7588.9,7639.3
7636.7,7636.9,7559.6,7586.3
7587.9,7644.0,7555.4,7636.3
7634.2,7642.0,7514.8,7532.3
7522.2,7539.0,7438.8,7457.6
7452.4,7507.2,7443.4,7504.4
7504.9,7628.6,7497.1,7619.1
7613.6,7655.3,7581.8,7589.7
7587.8,7644.4,7553.8,7639.6
7646.0,7649.5,7601.1,7633.1
7627.9,7637.9,7586.3,7614.5
7612.4,7618.6,7545.4,7572.4
7572.1,7605.1,7554.9,7581.9
7579.9,7611.1,7554.1,7593.6
7587.0,7639.3,7573.3,7595.0
7596.4,7639.3,7576.3,7623.9
7624.7,7688.4,7611.2,7617.4
7623.3,7625.2,7580.0,7591.4
7596.6,7608.2,7550.6,7560.4
7563.2,7577.8,7518.0,7543.0
7543.2,7545.2,7455.8,7519.5
7511.4,7514.1,7438.7,7453.2
7458.2,7477.3,7399.4,7467.6
7469.7,7497.3,7427.5,7477.8
7475.2,7518.5,7468.0,7502.2
7505.1,7515.7,7458.8,7486.7
7486.1,7552.2,7475.3,7550.7
7546.1,7563.3,7512.9,7531.9
7522.4,7547.6,7515.4,7519.4
7520.9,7522.7,7431.8,7435.0
7434.8,7440.0,7265.2,7280.1
7281.1,7287.5,7228.0,7266.3
7265.9,7306.5,7228.8,7261.6
7260.7,7295.8,7237.8,7287.8
7286.9,7426.3,7286.9,7411.8
7409.4,7458.7,7403.9,7422.3
7429.8,7481.5,7416.0,7420.8
7413.2,7438.5,7393.8,7411.7
7413.3,7462.8,7396.6,7454.3
7456.8,7626.1,7451.0,7578.3
7580.5,7661.7,7565.2,7649.6
7645.9,7674.7,7635.5,7672.2
7670.9,7688.0,7620.4,7679.1
7677.9,7700.8,7664.9,7683.8
7685.8,7703.5,7628.9,7669.2
7673.5,7709.9,7654.0,7665.6
7666.6,7716.6,7644.1,7674.7
7674.5,7723.1,7655.2,7701.0
7701.1,7713.4,7649.4,7657.1
7642.4,7658.9,7518.9,7546.1
7536.6,7561.0,7437.2,7533.9
7533.7,7569.5,7484.5,7512.0
7527.5,7567.3,7503.6,7564.5
7565.2,7567.3,7485.6,7548.7
7549.0,7604.9,7538.9,7598.4
7567.6,7624.0,7559.8,7589.9
7594.0,7598.4,7506.3,7534.1
7536.7,7549.7,7475.3,7513.4
7511.6,7524.6,7368.9,7381.6
7382.9,7398.0,7326.9,7332.0
7329.5,7352.8,7269.8,7272.3
7275.3,7297.4,7214.6,7266.4
7264.0,7317.5,7249.2,7263.7
7262.7,7311.2,7255.3,7260.3
7262.7,7352.3,7259.3,7338.0
7324.9,7384.95,7302.75,7311.75
7317.25,7385.95,7308.65,7356.35
7387.35,7482.65,7367.7,7478.95
7481.95,7510.65,7464.15,7477.65
7477.65,7504.85,7421.85,7435.53
7434.75,7496.95,7432.25,7485.45
7489.15,7532.85,7454.05,7456.65
7459.25,7489.45,7395.95,7431.25
7434.25,7457.45,7375.95,7432.25
7432.65,7469.35,7390.35,7449.65
7452.75,7498.25,7406.45,7489.75
7496.45,7560.15,7475.65,7515.45
7511.95,7561.65,7506.45,7524.86
7527.05,7555.75,7498.25,7533.34
7532.15,7720.71,7529.15,7708.65
7708.35,7757.55,7704.85,7707.35
7712.05,7732.75,7650.85,7671.15
7670.95,7693.65,7651.65,7666.45
7667.75,7751.45,7646.25,7711.75
7715.75,7751.45,7632.24,7637.74
7643.55,7741.25,7629.9,7667.06
7674.85,7692.05,7586.05,7637.89
7636.45,7664.15,7595.65,7607.76
7610.95,7652.65,7565.65,7606.85
7601.25,7625.07,7523.95,7612.75
7615.65,7678.85,7577.35,7586.65
7627.35,7636.6,7490.05,7509.85
7508.95,7550.95,7461.95,7468.25
7468.55,7494.25,7385.25,7419.55
7422.75,7491.45,7407.95,7460.25
7459.75,7535.25,7423.45,7525.74
7478.35,7544.55,7471.35,7523.07
7522.55,7648.25,7521.05,7621.05
7621.95,7658.25,7613.25,7643.55
7639.75,7691.95,7606.45,7639.25
7640.55,7664.25,7592.15,7608.65
7624.45,7656.15,7587.65,7648.35
7649.95,7706.15,7623.15,7680.41
7679.55,7705.25,7567.25,7582.55
7577.85,7590.6,7466.35,7476.35
7474.55,7489.75,7370.12,7371.91
7396.35,7412.55,7340.55,7356.35
7356.05,7414.97,7325.75,7397.45
7391.95,7434.15,7371.15,7396.32
7384.85,7401.05,7326.05,7341.35
7351.95,7383.65,7259.15,7267.45
7292.55,7366.25,7278.05,7337.95
7335.65,7379.85,7312.85,7332.35
7330.55,7391.75,7309.25,7371.45
7368.35,7476.55,7366.85,7471.75
7466.85,7488.6,7399.05,7409.75
7412.55,7456.45,7401.05,7424.25
7423.95,7439.15,7402.65,7407.45
7407.95,7450.65,7388.15,7393.95
7380.65,7472.35,7370.85,7431.15
7431.95,7431.95,7322.15,7392.45
7399.75,7441.95,7363.25,7436.1
7435.85,7462.65,7391.55,7435.1
7440.95,7543.65,7433.45,7483.45
7470.55,7499.75,7407.75,7437.91
7436.15,7521.85,7428.15,7508.65
7517.35,7519.85,7478.55,7498.35
7500.45,7508.95,7453.45,7485.55
7486.65,7517.35,7459.85,7475.15
7468.35,7503.05,7455.85,7489.65
7492.35,7511.65,7457.55,7502.35
7500.15,7507.15,7463.85,7469.15
7470.75,7477.75,7414.45,7450.25
7453.25,7471.45,7419.95,7437.25
7437.85,7509.55,7395.55,7472.85
7473.45,7555.65,7472.95,7539.95
7542.15,7552.15,7488.85,7518.15
7520.75,7520.75,7471.95,7490.65
7492.35,7558.55,7480.78,7510.85
