Open,High,Low,Close
130.924,131.046,130.601,130.601
130.698,131.4,129.517,130.985
131.014,132.716,129.926,132.652
132.57,134.055,131.684,133.421
133.406,134.774,131.998,132.106
131.928,132.658,131.311,131.888
131.885,132.48,131.388,132.237
132.244,132.873,132.066,132.494
132.371,132.478,128.865,129.324
129.18,129.432,127.459,127.851
127.761,128.867,127.224,128.506
128.444,129.154,127.991,128.153
128.042,131.577,127.566,128.916
128.868,128.896,127.763,128.427
128.419,130.612,128.353,129.576
129.456,130.89,129.042,130.681
130.631,131.022,129.729,130.179
130.164,130.586,129.267,129.588
129.59,130.618,129.027,130.231
130.221,130.269,129.498,129.798
129.681,130.57,129.204,130.442
130.399,130.532,129.743,130.102
130.039,130.412,128.541,128.963
128.926,129.128,128.083,128.702
128.662,131.203,128.331,131.186
132.448,132.904,131.514,132.634
132.646,132.708,130.475,131.075
131.033,131.539,130.596,131.44
131.343,131.828,130.34,131.516
131.554,131.883,129.806,131.432
131.235,132.912,131.196,132.392
132.376,133.314,131.502,133.092
133.113,134.36,132.546,134.169
134.121,134.464,133.605,133.947
133.939,135.108,133.926,134.136
134.2,134.539,133.923,134.276
134.214,135.228,134.15,135.027
134.998,135.062,134.366,134.91
134.862,135.366,134.49,134.676
134.695,136.516,134.059,136.477
136.411,136.564,135.916,136.227
136.18,136.918,135.737,136.234
136.163,136.469,135.257,136.19
136.146,137.1,136.021,136.758
136.754,136.77,135.746,135.832
135.96,136.192,135.363,135.919
135.908,137.196,135.541,137.151
137.153,137.912,136.476,137.339
137.325,137.344,135.942,136.147
136.141,136.994,134.111,135.086
134.537,135.038,132.285,133.252
133.176,134.903,133.03,134.204
134.215,135.11,132.216,133.432
133.373,133.83,131.718,133.75
133.704,133.743,131.556,131.846
131.775,132.65,130.538,131.304
131.317,132.626,131.034,132.457
132.475,132.999,131.004,131.512
131.436,131.662,130.321,130.847
130.787,130.939,129.641,130.715
130.498,131.761,130.466,131.573
131.534,131.572,130.406,130.898
130.855,132.891,130.76,132.863
132.847,132.967,132.205,132.683
132.644,133.597,132.588,132.826
133.367,133.754,132.202,132.405
132.366,133.168,131.522,131.716
131.679,131.846,130.631,131.326
131.31,131.906,130.777,131.773
131.758,132.378,131.526,132.145
132.128,133.871,131.83,133.604
133.594,133.805,132.971,133.69
133.649,134.046,132.735,133.139
133.121,133.393,132.02,132.576
132.575,133.837,132.169,133.735
133.802,134.575,133.711,134.476
134.426,134.708,133.864,134.106
134.098,135.136,133.952,134.712
134.672,134.972,134.014,134.243
134.23,134.493,133.551,134.121
133.942,134.73,133.891,134.251
134.23,134.475,133.37,133.726
133.739,133.943,133.018,133.658
133.659,134.194,133.203,133.989
133.91,136.561,133.35,136.279
136.141,137.54,136.141,137.466
137.484,137.775,136.32,136.562
136.539,136.607,134.736,134.771
134.675,134.879,133.501,134.277
134.246,135.126,133.886,134.824
134.744,135.297,134.642,135.119
135.034,135.357,134.722,135.233
135.16,135.47,134.115,134.36
134.302,134.843,133.745,134.562
134.464,135.753,134.402,135.728
135.644,136.327,135.637,136.108
136.108,136.684,135.656,136.386
136.367,137.712,136.306,137.698
137.662,138.748,137.288,138.705
138.714,138.724,137.424,137.97
137.965,138.686,137.493,138.59
138.59,138.913,138.242,138.571
138.578,139.477,138.23,139.464
139.441,140.229,138.818,140.038
140.046,140.724,139.496,140.602
140.57,140.922,140.115,140.435
140.435,140.932,139.571,139.788
139.788,140.41,139.234,139.341
139.335,139.949,138.434,138.794
138.778,140.071,138.607,139.97
139.947,140.454,139.252,139.584
139.567,139.994,139.097,139.638
139.63,140.249,139.026,140.171
140.082,140.231,138.81,138.92
138.918,139.725,138.762,139.378
139.302,139.768,139.064,139.608
139.589,140.306,139.011,140.228
140.199,140.283,139.284,140.082
140.031,141.503,139.942,140.273
140.26,141.914,139.852,141.863
141.696,142.002,141.443,141.991
141.94,142.254,141.215,141.434
141.455,142.367,141.283,141.892
141.855,143.23,141.612,143.107
143.089,143.874,142.694,143.69
143.475,143.718,142.939,143.506
143.475,144.174,143.284,144.069
144.067,144.616,143.73,144.485
144.478,144.899,144.135,144.778
144.711,145.072,144.205,144.296
144.242,144.914,143.985,144.662
144.643,144.703,144.206,144.471
144.439,144.737,144.081,144.65
144.638,144.654,143.556,144.061
144.044,144.2,142.074,142.103
142.114,143.005,141.278,141.321
141.311,141.459,140.159,140.352
140.376,140.376,138.153,138.514
138.456,138.951,137.921,138.05
138.026,139.153,137.246,138.803
138.62,139.409,138.001,138.719
138.707,139.138,137.68,138.841
138.829,139.994,138.766,139.67
139.556,140.499,139.108,140.07
140.072,141.954,139.75,141.841
141.567,141.811,140.735,141.481
141.451,141.735,140.85,140.909
140.896,141.188,139.926,140.245
140.236,141.318,138.765,139.468
139.467,141.179,138.063,141.162
140.919,142.68,140.692,142.268
142.287,143.547,142.211,143.331
143.328,143.478,142.233,143.329
143.324,143.892,142.065,142.526
142.53,142.895,141.552,141.751
141.663,142.584,141.514,142.475
142.49,143.493,142.403,143.39
143.366,143.75,143.0,143.725
143.72,144.818,143.278,144.752
144.716,145.003,144.411,144.955
144.841,145.58,144.65,145.55
145.536,145.866,145.106,145.579
145.559,146.406,145.306,146.356
146.344,146.558,145.619,145.854
145.834,145.857,144.926,145.39
145.26,146.404,145.146,146.232
146.199,146.401,145.496,145.884
145.888,145.888,144.539,144.85
144.811,145.96,144.603,145.85
145.821,146.635,145.721,146.449
146.414,146.744,146.274,146.54
146.534,147.375,145.668,145.888
145.881,146.537,145.557,146.253
146.222,146.224,145.347,145.535
145.522,146.294,144.439,146.193
146.049,146.498,146.024,146.486
146.457,147.8,146.368,147.722
147.721,147.818,147.017,147.67
147.652,147.874,147.043,147.29
147.282,147.868,146.584,147.781
146.959,147.274,145.9,146.582
146.577,147.234,146.438,147.086
147.077,147.738,147.018,147.477
147.449,147.564,147.02,147.464
147.47,147.952,147.338,147.841
147.704,147.878,147.558,147.602
147.584,147.922,147.508,147.872
147.832,148.361,147.474,148.353
148.341,148.458,147.322,147.563
147.566,148.414,147.498,148.354
148.252,148.966,148.201,148.893
148.877,149.188,148.706,149.064
149.053,149.71,148.862,149.647
149.621,149.621,149.149,149.3
149.283,149.504,148.53,149.366
149.6,149.877,149.389,149.867
149.851,150.161,147.275,149.036
148.985,149.316,148.734,149.126
149.107,149.118,148.259,148.5
148.503,149.534,148.341,149.241
149.08,149.241,148.438,148.511
148.49,149.098,148.165,148.71
148.711,149.324,148.424,149.175
149.145,149.83,148.956,149.81
149.783,149.829,149.455,149.56
149.302,149.762,149.302,149.517
149.484,149.852,148.805,149.807
149.804,149.939,149.488,149.928
149.926,149.962,149.665,149.787
149.769,149.993,149.633,149.849
149.821,149.992,149.558,149.713
149.692,149.926,149.324,149.911
149.915,150.317,149.793,150.233
150.177,150.779,149.838,150.401
150.373,150.414,149.461,149.595
149.46,149.855,148.804,149.055
149.024,151.713,149.01,151.679
151.542,151.674,150.66,150.946
150.951,150.952,149.846,150.446
150.377,150.521,149.194,149.356
149.319,150.082,149.298,150.078
150.052,150.692,149.921,150.431
150.298,151.058,150.29,150.976
150.971,151.387,150.768,151.341
151.333,151.604,151.223,151.519
151.438,151.91,151.208,151.723
151.717,151.785,150.154,150.387
150.33,151.422,150.047,151.391
151.312,151.432,150.286,150.735
150.702,150.776,149.199,149.578
149.593,149.989,148.101,148.396
148.323,148.596,147.149,148.4
148.372,149.751,148.017,149.538
149.515,149.69,148.888,149.573
149.526,149.713,149.199,149.418
149.391,149.674,148.549,148.681
148.67,148.828,147.323,147.465
147.475,147.908,146.67,147.232
147.234,148.51,146.841,148.224
148.174,148.347,146.661,146.804
146.694,147.45,146.226,147.217
147.19,147.386,146.555,147.152
